id,tw_member?,fb_member?,tw_follower?,fb_follower?
ysztnk4,False,False,True,False
spengfei,False,False,True,False
hkboards,False,False,False,True
joshspivey,False,False,True,True
mesuutt,False,False,True,True
srobinson,False,False,False,True
foru17,False,False,True,False
michiroth,False,False,True,False
hanksudo,False,False,True,False
pelhage,False,False,True,False
jlgonzalezdiaz,False,False,False,True
theaqua,False,False,False,True
MZAWeb,False,False,True,False
SophieGAO,False,False,True,False
june29,False,False,True,False
alwinchan,False,False,True,False
Kuldeep-Desai,False,False,True,False
itsatony,False,False,True,False
sconfield,False,False,True,False
aprescott,False,False,True,False
xyt243135803,False,False,False,True
cybermatatu,False,False,False,True
iAladdin,False,False,False,True
mmesson,False,False,False,True
StickIT,False,False,True,False
konamax123,False,False,True,False
bitmage,False,False,False,True
bvdputte,False,False,True,False
jungilhan,False,False,False,True
Harvey4431,False,False,True,True
caleb3141,False,False,False,True
alakbarOOv,False,False,True,False
HanWax,False,False,False,True
aaronjgreenberg,False,False,True,False
donokuda,False,False,True,False
vanabharathiraja,False,False,True,False
nrupuld,False,False,True,False
deepure,False,False,False,True
usirin,False,False,False,True
xialixue007,False,False,False,True
antonvorobyev,False,False,True,False
initialkommit,False,False,False,True
camerondgray,False,False,True,False
a-beco,False,False,False,True
benmackay,False,False,False,True
vishak0,False,False,False,True
wangmengyan95,False,False,False,True
himanshu101,False,False,True,False
ippei-tanaka,False,False,True,False
lethor,False,False,True,True
elisecarpenter,False,False,False,True
dustinsanders,False,False,False,True
ljmf00,False,False,True,False
elephantsy,False,False,False,True
erica-m,False,False,True,False
yuyokk,False,False,True,True
Pictor13,False,False,True,False
kurotaky,False,False,True,False
nkapliev,False,False,True,False
itzee,False,False,True,False
qibinlou,False,False,False,True
wisonlin,False,False,False,True
m0ep,False,False,True,False
dearlux,False,False,False,True
amp-at-clover,False,False,False,True
LesKuhl,False,False,True,False
MrRenaud,False,False,True,False
liyucun,False,False,False,True
dbarden,False,False,False,True
vrnkalra,False,False,True,False
georgecao,False,False,True,False
gokhanozkal,False,False,True,False
RobertoEstrada,False,False,False,True
applecool,False,False,True,False
floodice,False,False,False,True
sheebz,False,False,True,True
mikeromano38,False,False,True,False
jzapater,False,False,False,True
yusisi,False,False,True,True
henryre,False,False,False,True
jcjohnson,False,False,False,True
Leah33,False,False,False,True
trakosioi,False,False,True,False
daniduarte,False,False,True,False
SaurabhBajaj,False,False,False,True
mysticflute,False,False,True,False
laotanAndzijun,False,False,True,False
wolftrax5,False,False,False,True
src053,False,False,True,False
nikolsky2,False,False,False,True
Naoyuk,False,False,True,False
brucebentley,False,False,True,False
habibmasuro,False,False,False,True
Tshamz,False,False,True,False
iconocrash,False,False,True,False
Bandithklh,False,False,True,False
rwod,False,False,True,False
k-enomoto,False,False,False,True
n8agrin,False,False,True,False
jesslalanne,False,False,True,False
SebastianEngelmann,False,False,True,False
paulduthoit,False,False,False,True
winminsoe,False,False,True,False
xiaogliu,False,False,True,False
maxcnunes,False,False,False,True
moimikey,False,False,True,True
dmarges,False,False,True,False
atao,False,False,True,False
dichtericfi,False,False,True,False
josejailton,False,False,False,True
rkJun,False,False,True,False
Jocs,False,False,False,True
Nitzperetz,False,False,False,True
teserak,False,False,True,False
rodrigopr,False,False,True,False
Ryannnnnnn,False,False,False,True
andrewabogado,False,False,True,True
garnettk,False,False,True,False
Tien-Tyrant,False,False,False,True
junjis,False,False,True,False
NeXTs,False,False,False,True
melodybliss,False,False,False,True
ilsur,False,False,True,False
Inviz,False,False,True,True
zzf03680147,False,False,True,True
tarikakyol,False,False,True,False
ibsukru,False,False,False,True
SMaguina,False,False,True,False
palcu,False,False,False,True
romainshen,False,False,False,True
Jesseszhang,False,False,True,False
dieguitoweb,False,False,True,True
clintoncrick,False,False,True,False
kar,False,False,True,False
rekatz,False,False,False,True
pintolaranja,False,False,True,False
ravifreek63,False,False,False,True
reshadn,False,False,False,True
piotr-mroczek,False,False,False,True
Huade,False,False,True,False
tanakakc,False,False,True,False
aleclarson,False,False,True,True
JoshMilo,False,False,True,False
jzorn,False,False,True,False
lelandrichardson,False,False,True,True
filipelinhares,False,False,True,True
Tankpt,False,False,True,True
rjurney,False,False,True,False
michaellewiswilson,False,False,True,False
Julian1393,False,False,False,True
Nibelungc,False,False,False,True
adelnizamutdinov,False,False,True,True
johnskopis,False,False,True,False
adrianbrink,False,False,False,True
imjoshholloway,False,False,True,False
andjosh,False,False,True,False
maxvoltar,False,False,False,True
gradjitta,False,False,True,True
safareli,False,False,True,False
alicraigmile,False,False,False,True
hakobe,False,False,True,False
alvinteh,False,False,True,False
andapop,False,False,True,False
eugenpirogoff,False,False,False,True
Jody-Geers,False,False,True,False
jiji262,False,False,True,True
pashanitw,False,False,False,True
chin87,False,False,True,False
allfix53,False,False,False,True
mtackes,False,False,False,True
radub,False,False,True,False
prachi94,False,False,False,True
network2501,False,False,False,True
humberaquino,False,False,False,True
brettu,False,False,False,True
claudejpschmit,False,False,False,True
brettferdosi,False,False,True,False
khoa-le,False,False,True,True
gsavastano,False,False,False,True
brunoprela,False,False,False,True
ahdriel,False,False,False,True
jamespegg,False,False,True,False
salihozd,False,False,False,True
elmoonwy,False,False,False,True
skeletone,False,False,True,False
VasimHayat,False,False,False,True
jlambe,False,False,False,True
lokeshletsnurture,False,False,False,True
searchablue,False,False,False,True
edwardsilhol,False,False,False,True
vargi,False,False,False,True
fantanoice,False,False,False,True
hanzhifengyun,False,False,True,False
lpwlpw,False,False,False,True
jjfattz,False,False,True,True
deshbandhu,False,False,True,False
pawelropa,False,False,True,True
marjan-georgiev,False,False,False,True
Octaviomtc,False,False,True,False
sng2c,False,False,False,True
searchs,False,False,True,False
nickreffitt,False,False,True,True
gbau,False,False,False,True
orcudy,False,False,True,True
